saleid|itemid|customerid|storeid|time|qty|pricerange
52702|1819|9716|30|73|50|1 
52815|4387|8397|26|43|17|1 
85674|10232|16946|21|50|8|1 
96594|10168|18351|26|92|19|1 
50730|6011|5246|37|73|9|1 
60495|10151|3503|97|48|49|5
27825|6313|5746|45|16|12|1 
93926|7819|17154|81|18|27|2
67868|13592|17840|32|16|8|1 
17099|6434|19889|47|73|41|2
39055|7284|12983|19|73|27|1 
70275|7186|4578|58|14|33|2
78117|8768|5246|54|79|13|1 
63851|7530|15710|6|55|47|1 
71601|9492|18395|95|73|48|2
45936|8829|17162|24|73|31|1 
16464|12628|11742|15|19|42|1 
57517|10026|13709|80|84|12|1 
75088|9552|5243|14|79|15|5
79813|11874|8397|79|28|41|4
93726|8316|625|66|73|36|1 
71536|6996|19739|68|95|16|1 
3598|10951|6169|17|70|9|1 
8805|11502|14837|90|73|14|1 
82506|11450|25|33|93|17|1 
72791|10958|4973|36|16|24|1 
19469|12355|12305|61|73|6|1 
76918|11586|5936|76|99|9|1 
82169|10279|19444|31|73|32|1 
2319|9795|19809|28|48|46|1 
65023|7343|3614|98|73|15|1 
50070|13975|2504|12|73|5|1 
58233|1874|10702|42|73|29|1 
87789|10947|5746|15|93|34|4
11451|9399|10171|21|29|45|4
92639|3910|13259|58|16|23|1 
3499|11104|5696|83|96|26|5
92940|13947|18145|38|29|35|1 
40231|8456|19445|72|73|27|4
90750|8988|5318|65|79|17|2
89505|8103|3910|49|30|15|1 
50411|11101|5746|57|70|17|3
63741|7379|5676|4|48|2|1 
49320|12223|8397|96|95|41|3
10938|11866|6435|84|1|36|1 
7703|11551|19360|18|73|13|1 
2197|9772|9768|98|31|4|4
51950|11875|2470|45|73|16|1 
38607|9371|8397|89|73|3|2
29713|9022|5595|82|27|12|3
98055|10630|8397|41|73|30|1 
78743|10283|18400|81|16|28|1 
43895|10657|5746|11|73|43|2
7358|7724|8397|47|73|5|1 
14184|17276|6507|60|1|47|2
31750|9596|2557|2|50|37|1 
50469|10146|14422|5|73|33|1 
68279|10964|663|44|73|43|1 
41074|13908|10987|49|73|5|1 
24832|10011|12434|93|73|4|1 
51100|8092|466|75|73|49|1 
48791|11577|15297|76|70|30|1 
12390|9017|11724|61|73|40|2
59319|8197|9474|85|73|19|5
61072|9720|13766|64|79|6|2
86686|8933|5746|89|73|5|1 
52967|11123|14150|79|73|1|2
23808|11363|4973|61|95|20|2
22291|6735|17325|74|73|16|2
19286|13241|4922|11|23|32|1 
95892|8569|8537|30|73|45|4
65928|11058|8397|33|73|6|3
20587|12698|8397|14|42|43|1 
58541|8123|5746|1|72|48|1 
7001|9476|2826|9|82|15|1 
60795|12649|8397|35|24|19|1 
43022|9112|7163|42|73|36|1 
6727|5300|8397|90|97|38|3
33311|8056|2663|47|73|7|2
14219|7335|10702|2|73|49|1 
38028|8752|65|28|73|41|1 
78957|17558|8397|71|73|28|1 
48177|8423|16851|58|73|28|1 
9991|10441|17669|36|73|5|1 
98472|12371|3562|29|73|2|2
59693|19945|5890|50|73|33|1 
1017|14739|8397|89|73|12|4
80579|13781|8397|65|73|17|1 
39026|11429|8397|85|73|8|1 
47340|10026|2877|71|73|29|3
50146|10500|9041|35|73|35|2
54637|8553|2920|27|16|10|1 
9363|8112|8835|60|73|3|1 
77948|10115|8397|29|73|48|1 
89682|9289|16868|85|63|35|4
16407|9756|11419|64|73|32|2
75070|6887|9811|1|73|20|1 
3608|8444|15818|81|73|39|1 
29075|4499|8397|28|69|49|2
81616|8894|16715|27|17|33|1 
28711|13680|2481|63|56|33|1 
96925|8802|4973|12|73|47|1 
75550|9563|8397|20|97|6|2
68472|6691|5696|93|73|3|1 
34962|8174|9982|9|73|11|3
40571|6078|13072|43|66|11|1 
28941|11522|19305|94|73|44|2
72366|11837|8397|22|73|16|1 
3925|9336|5696|14|73|41|1 
5546|12988|9991|35|50|23|1 
49267|7437|16868|91|31|5|3
77683|8845|16589|64|73|10|1 
48959|9511|8397|71|73|38|2
64169|10673|4973|38|73|34|1 
42690|10382|19719|63|92|32|2
48927|13014|12401|62|73|38|1 
83766|11964|14142|20|95|47|1 
62325|12866|5746|11|73|15|2
1279|9399|19644|90|67|7|4
73294|6884|11673|31|32|13|1 
75375|13303|9218|51|16|25|3
60348|9820|17206|37|73|4|2
20478|12743|2852|25|1|21|5
29388|9654|8397|97|80|6|2
79049|12368|4288|58|73|47|1 
5349|11058|8397|43|73|49|5
76432|10372|2481|56|73|6|1 
70177|11852|15671|90|73|14|2
94792|8494|2084|93|73|32|1 
57689|9416|5361|82|73|42|1 
50020|9890|8397|90|73|21|1 
15633|6368|8397|19|73|31|1 
25303|8733|4034|13|73|19|1 
18007|9032|8397|3|23|33|2
40885|10821|5696|75|47|20|3
94450|7718|8397|12|73|18|1 
67194|11607|16868|25|73|40|1 
87644|11566|553|28|94|32|4
80497|8224|14190|95|43|48|5
1530|11337|18299|91|52|26|4
87492|6287|5746|39|29|10|1 
65832|7631|6385|39|73|2|1 
40967|11214|8397|45|73|5|1 
69056|15750|8397|43|73|32|4
31398|5051|8397|61|92|24|1 
17513|9231|1552|36|46|7|1 
4426|9170|5746|5|63|11|3
85125|9064|15871|21|37|21|1 
16702|12626|8397|67|85|34|1 
69207|9788|4106|62|69|41|2
81977|13044|8397|94|97|22|4
47073|8172|14032|15|73|44|5
93239|11301|12073|44|88|29|1 
63276|7081|9289|46|95|13|1 
61635|11626|6602|8|73|1|1 
27657|11898|8397|65|73|40|1 
81481|13310|17162|65|73|19|1 
15583|9358|8397|19|73|6|5
73388|10565|4973|1|73|9|2
43626|9469|6714|60|73|9|1 
12021|6429|3333|5|73|11|4
60571|8520|8397|100|73|34|1 
29561|8193|5099|95|73|3|1 
97170|9120|18432|97|95|36|1 
72230|8360|17989|2|48|44|1 
35256|8345|16868|12|73|15|2
39868|6741|3769|48|73|27|1 
70012|11183|3081|21|73|2|1 
16224|9639|17162|35|85|10|2
32910|13729|6680|65|73|47|1 
50483|8486|8397|28|93|46|3
24307|9959|16719|94|73|7|1 
61504|7718|8397|76|41|45|1 
20738|9380|9768|93|81|35|1 
34493|7271|5696|69|73|2|1 
28267|8013|11061|97|73|39|1 
10445|19135|8397|88|73|43|4
65847|11122|8777|16|73|39|1 
20253|11404|8397|13|41|14|1 
1360|4337|8397|75|9|35|1 
15711|11303|12755|72|79|11|1 
60236|13333|8397|10|73|49|1 
95102|9288|10688|60|73|41|1 
91375|8049|5746|26|2|35|1 
28848|9412|7704|87|73|40|1 
68417|7105|5746|98|73|8|1 
72633|9696|11485|97|73|13|1 
90082|11172|3777|65|57|47|5
80699|11734|8397|17|73|1|2
15807|8785|3523|34|61|43|1 
49223|10952|16946|18|13|14|5
21007|10252|4578|17|73|37|1 
34118|9109|5590|2|73|23|4
66609|9206|16027|55|73|37|3
29481|9567|18586|78|73|26|1 
33319|7147|19083|72|95|15|1 
71496|10682|5746|8|48|27|1 
95567|9149|7013|62|73|30|1 
66266|11738|10971|90|8|9|4
3125|11255|9526|24|73|11|1 
65136|12173|7809|28|48|4|1 
55282|8560|3868|1|70|15|2
48593|6446|10601|97|73|32|1 
21086|6574|13067|24|73|7|3
89465|7033|17878|72|73|29|2
16842|10671|13227|62|79|1|5
50254|8374|8397|14|95|4|1 
629|9494|614|44|73|25|3
1924|6295|16868|29|73|24|1 
26809|13922|10185|17|73|3|3
43061|8915|8397|37|69|50|1 
35279|8642|6202|89|43|44|1 
37369|10721|8397|72|73|44|3
25406|10889|8397|6|73|35|5
45522|11153|16765|32|73|27|1 
46498|8462|797|39|73|49|1 
53825|9587|5353|42|96|9|2
14200|11954|8397|64|73|33|1 
72111|9117|12794|37|73|32|1 
54475|11676|18135|57|73|1|1 
94357|8340|8340|100|73|23|4
45446|11910|17798|97|43|42|2
3116|12011|15646|3|73|26|2
28615|13074|5806|96|73|15|3
52434|7334|14381|32|73|34|1 
49209|11197|4288|27|36|14|3
36846|11763|8397|80|95|6|4
95664|7752|16868|60|95|12|3
79764|8147|5746|63|82|28|2
65447|13892|8397|22|73|8|2
96850|10403|19850|42|73|27|3
92911|11253|19801|52|73|50|3
61678|13602|16719|80|16|46|2
35160|9532|16868|36|33|41|1 
84641|6646|8397|52|73|42|1 
46525|9088|8397|80|50|27|4
78266|10138|1641|17|73|2|1 
48311|12747|8397|8|73|4|2
98135|7366|16509|75|55|8|1 
65580|11414|8397|77|13|35|1 
7095|9698|5746|74|73|12|1 
93425|11492|3160|26|73|26|1 
12179|8866|8397|58|73|28|1 
5378|12069|14167|13|16|33|3
88467|11546|2568|71|95|35|1 
1847|8803|8397|80|73|40|4
38491|8180|16868|74|65|4|5
60579|10844|17942|57|73|37|5
25386|11550|5746|97|73|9|1 
47488|11675|13278|31|37|15|1 
59577|9217|8397|56|73|40|2
92674|7691|8397|54|61|48|2
99360|10092|9144|87|48|41|2
84194|11019|8397|57|3|3|1 
8700|10633|8397|64|16|49|1 
79336|8229|19519|24|73|1|1 
35607|13970|4578|18|73|48|1 
45116|10140|17880|81|73|19|1 
96632|9718|3211|45|73|8|1 
5616|9471|2745|98|85|30|1 
17717|9145|8397|82|73|46|5
56266|11764|2707|91|73|32|2
72578|11197|8826|30|92|43|1 
95248|8132|19512|25|73|43|1 
40294|11036|17600|7|92|44|1 
79228|11452|16532|79|11|42|4
78244|9909|2246|41|73|38|1 
75669|9780|8397|13|73|36|3
27404|11517|8397|58|95|4|2
47750|8232|668|79|60|6|1 
82564|13165|8397|37|95|15|1 
73582|11045|5696|54|87|11|4
41592|8483|16675|49|93|38|1 
82037|7626|8397|94|16|32|1 
73785|11031|14362|50|92|45|2
78844|10269|8397|31|15|9|3
96211|11142|15075|73|16|49|2
82095|7395|16719|39|54|30|4
94481|11281|10500|28|70|33|2
85823|10582|11359|1|73|28|4
20064|10926|19305|13|73|5|1 
3874|6591|16868|49|36|30|5
24516|10763|8397|68|79|9|3
84205|9332|19183|8|73|24|1 
99171|7957|3655|78|73|28|1 
94017|10247|8397|94|73|47|2
28123|11402|1093|22|61|42|2
6753|10632|5676|23|70|47|1 
86559|10905|19928|43|41|39|4
63873|10954|16868|12|73|1|1 
57081|7801|1530|46|92|13|5
61744|10138|8397|10|63|6|1 
98044|10457|8397|72|73|32|2
97804|8711|19614|80|16|6|4
63973|9473|2490|60|29|37|3
80274|8595|15553|69|40|10|5
81437|6351|9991|28|73|14|2
85408|13873|9967|72|95|15|3
73752|9200|8621|26|92|39|1 
3583|9274|388|88|73|23|1 
79351|11739|9991|27|73|32|4
24682|11616|8397|55|73|49|1 
27359|10685|8397|86|92|50|1 
77247|13531|8397|62|8|13|4
77316|9290|8492|69|92|29|1 
90849|11502|13870|14|31|49|2
2696|9867|13801|43|31|27|4
5057|11678|8397|25|73|4|1 
40632|11984|8397|48|35|33|1 
74474|9791|8397|71|16|28|1 
18952|8184|16719|22|100|3|1 
63075|10857|17517|15|73|46|1 
1244|6384|8397|39|73|44|1 
65173|10010|9121|10|73|31|2
20819|9154|596|17|93|38|3
2795|12413|13562|62|73|7|5
70623|7585|16282|66|61|15|2
24201|8416|6707|75|73|9|1 
24522|10901|17605|33|73|13|1 
98507|7538|1887|23|73|36|2
12397|11911|5696|25|73|29|3
26837|13074|8397|78|73|27|3
31695|11527|8397|92|42|10|1 
85282|9701|4449|31|73|49|1 
22569|8659|14329|15|60|19|5
14254|8451|17880|57|73|2|1 
33648|13288|10897|89|85|35|2
48194|12249|8397|66|84|22|3
70209|11373|5746|99|73|18|1 
68758|13527|8397|62|73|41|4
90379|13354|10540|3|73|5|4
94700|13500|9244|13|73|35|5
43981|8697|8397|35|73|30|1 
34292|7130|10312|69|73|18|3
60803|13453|17430|83|73|10|1 
72575|6933|12465|49|73|1|1 
44316|8829|5696|35|28|8|1 
31879|6270|7341|54|46|30|1 
84854|13338|2733|93|1|40|1 
15391|8485|10398|37|73|29|2
85670|8243|8397|64|95|4|1 
48810|10760|8397|84|73|27|2
71143|11696|108|85|73|36|1 
41835|8482|11419|77|73|7|5
67259|11692|11828|94|95|16|1 
51840|6260|5196|28|94|9|1 
44412|13797|12351|30|73|39|1 
42177|9210|5746|92|73|28|2
25640|11751|8397|50|38|3|1 
68741|10005|18335|91|73|42|1 
40378|9944|12709|14|73|46|1 
71539|10553|19559|48|73|46|1 
89992|12832|15426|38|95|27|3
84076|9568|10381|7|73|16|1 
89455|11506|6397|80|57|9|1 
58628|9435|8362|22|73|49|2
55080|17514|8522|88|78|13|2
35605|11488|17176|91|95|12|1 
10945|12086|5696|68|88|39|2
92528|9508|8397|79|2|3|1 
95855|8490|8802|75|57|24|1 
15562|10914|5195|7|13|24|1 
89321|18026|19523|84|73|23|1 
21394|8811|8397|8|73|15|1 
67579|11360|7475|91|73|29|2
35443|11579|7472|41|26|49|4
67841|11537|8397|51|61|31|1 
47821|12702|15183|51|73|44|1 
36048|6200|13929|50|73|45|5
40662|8415|4302|18|73|33|1 
28100|13719|19236|14|23|10|1 
59455|12664|13381|94|97|12|1 
93960|8847|3296|50|16|23|1 
16510|12106|14609|70|75|24|3
57961|11603|17176|74|73|2|1 
10370|8460|12113|16|73|13|1 
95426|7292|8397|41|73|7|2
89694|8510|14405|3|8|30|3
14203|8426|16946|61|73|17|1 
21197|13062|8397|38|73|1|1 
69651|8220|5936|33|97|21|1 
91796|11511|2043|80|16|30|5
66769|6886|2895|44|73|34|1 
84805|7567|230|36|1|38|1 
95001|11598|5534|100|19|4|1 
87191|11609|15149|99|61|5|1 
15809|6101|5212|29|73|8|1 
19741|5698|8397|38|73|14|3
7383|10678|39|99|73|9|3
83558|11915|16802|13|96|14|1 
95255|9319|17376|91|73|40|5
53490|7867|2481|4|73|6|1 
29617|10933|5746|51|73|50|1 
80205|10539|10548|2|95|2|1 
74755|10963|15124|40|73|30|1 
11666|8324|7222|79|73|47|1 
30300|7452|17957|36|16|8|1 
8537|11765|8397|85|73|4|1 
41024|8513|5696|97|73|8|1 
2562|6086|13331|17|73|37|1 
31469|13171|5056|40|73|7|2
42053|13995|19916|16|73|19|1 
71561|6922|2481|45|73|14|1 
1906|6555|9867|99|10|40|3
44664|10202|7100|17|73|5|1 
41903|7854|16350|67|73|49|1 
28147|11600|5746|80|73|10|1 
85359|10971|7489|49|73|17|1 
8812|10645|3880|40|73|10|1 
87822|10029|1833|59|73|34|1 
45382|11507|8397|25|73|12|2
14069|8482|18415|44|32|44|2
27772|11358|4973|91|2|23|1 
15770|9107|8397|11|73|5|2
97721|11595|8397|3|10|33|4
84940|11267|3778|23|16|20|3
17876|11967|5746|44|73|29|1 
32651|11827|6731|52|73|40|2
56780|11130|1069|56|35|47|1 
95831|9337|4113|16|95|30|1 
62408|8896|206|76|73|9|2
65135|8972|17421|98|73|46|2
90203|10926|7590|89|61|18|5
22060|10742|5746|90|4|11|1 
49812|13627|12870|30|19|38|1 
74307|11150|4354|49|59|38|1 
15897|9653|5912|68|73|37|1 
99124|9643|11940|49|73|49|1 
75852|15657|8397|71|73|50|2
64796|11705|1561|96|73|31|3
43916|6980|17940|83|73|5|4
5157|10782|8397|74|73|9|1 
75774|9271|8397|30|92|15|4
2160|8592|13118|74|95|24|4
13789|13600|11419|80|19|7|1 
41549|9253|5696|92|73|47|1 
8391|3176|8397|3|70|40|3
95225|10676|5746|30|73|31|1 
94813|13902|8397|44|73|46|1 
11442|11942|5246|43|73|45|1 
97734|9772|15715|11|16|18|1 
57192|8494|7572|83|98|38|1 
64667|10976|6202|26|73|31|1 
71774|10907|13317|76|76|45|1 
73078|9044|8397|21|48|8|1 
3257|9442|16633|20|73|26|2
57658|8555|3822|96|73|44|1 
14556|10978|4288|5|73|31|1 
90886|8354|18262|24|73|13|1 
53844|11248|6169|95|65|25|1 
44108|11642|5291|8|50|3|3
94840|10856|7190|96|95|36|1 
40719|6628|16687|98|73|3|1 
93191|6884|13016|6|73|35|2
66513|13076|8397|21|53|6|1 
90793|9656|8397|8|63|37|2
14467|6722|388|18|73|8|1 
12632|9061|16973|80|95|27|1 
7996|12337|230|33|73|15|1 
28660|11275|8397|92|16|4|1 
83938|6272|3444|57|27|17|2
29228|8334|8939|32|60|25|1 
22245|11661|15676|35|73|50|5
72686|12857|8397|81|95|7|2
82899|10763|5746|9|73|50|5
40475|8916|8397|59|73|46|1 
25355|11785|4505|30|82|16|1 
39078|11443|5746|10|73|27|4
48226|8387|6286|95|73|49|3
88276|11441|16719|53|73|14|1 
82348|7147|3412|65|73|18|1 
8015|6398|2766|95|73|36|2
20899|6029|8397|11|4|40|2
6248|11681|16594|63|73|50|5
51867|9954|7969|21|73|22|2
5165|10233|18925|24|73|47|2
60153|11552|8109|18|73|42|1 
18052|9280|5310|12|47|26|2
25447|3080|8397|89|34|24|4
91077|11254|7072|63|90|50|1 
77269|9766|11919|37|96|35|1 
67652|9764|7562|29|88|12|1 
66713|6496|2144|30|92|40|1 
855|6016|14782|75|95|36|1 
61831|9789|3197|2|50|2|2
98959|8919|2467|1|73|45|4
63682|9760|5806|77|92|31|4
36193|13799|12131|22|73|25|1 
5505|6926|11821|56|73|8|2
5513|14587|15486|47|79|5|1 
88765|2941|10702|4|74|11|4
88737|10172|8397|16|82|4|4
67599|6844|8397|7|92|40|3
10025|11551|18630|64|73|36|2
3182|11884|14222|69|73|9|1 
10487|6002|16868|25|73|36|1 
12371|6296|2918|12|73|13|2
51129|11295|4889|18|22|25|1 
44542|8942|5746|16|73|42|4
57837|7111|8397|5|34|40|3
5588|8098|13365|81|73|1|1 
72729|10533|8397|16|70|45|1 
96657|6243|8397|51|73|28|2
58773|10772|2354|11|73|22|1 
97053|11601|5361|8|73|43|1 
48305|8177|13155|42|73|30|1 
32998|8736|8397|36|73|15|4
75587|8534|5746|100|68|31|1 
3580|11319|10756|78|73|24|1 
45002|12510|10455|80|53|30|2
41542|12057|7066|28|79|30|2
40185|13691|8397|43|73|9|1 
96711|9216|8397|36|73|32|2
8923|11690|14643|53|73|33|2
52828|8831|328|10|73|30|3
19724|13810|319|45|98|46|2
49839|9492|8397|100|16|27|2
9060|11908|14837|48|73|12|2
99400|13202|2227|66|64|38|1 
7637|9558|17880|82|92|38|1 
77169|9885|19841|5|73|35|1 
88565|10784|11245|23|12|26|1 
8256|8369|4123|85|22|27|3
9917|9611|3109|13|73|39|1 
1135|9994|16614|80|6|22|1 
52461|17895|10414|36|48|23|4
80461|10599|8397|29|48|38|1 
49057|6995|8397|1|73|31|1 
79941|10036|10471|48|73|11|2
46451|12260|1889|50|73|17|1 
95006|10350|11984|56|73|41|1 
43460|7201|4473|19|73|22|1 
27719|10894|1679|2|73|47|2
36281|14919|2193|2|55|19|1 
53244|12413|5912|38|5|16|1 
85911|9566|3752|56|73|14|1 
71245|9542|16802|90|73|28|1 
38937|13762|5696|12|43|26|5
84867|8075|14393|72|22|48|1 
76345|12131|16719|19|73|40|1 
79434|11078|8397|2|73|39|5
13854|4207|10593|4|32|36|1 
73308|6484|12943|80|95|2|2
75885|10213|6169|43|92|3|2
63348|9838|19976|33|73|34|3
315|11782|5696|78|73|17|2
31483|11414|5284|75|79|3|1 
38963|11688|1639|67|73|33|2
87764|10344|9477|44|1|43|1 
30527|12629|17921|90|92|34|1 
27623|10476|15847|21|92|14|1 
71893|10632|17335|8|50|5|2
26377|6755|1821|47|70|11|1 
6083|8628|19565|66|73|1|1 
10233|8816|8397|45|73|47|1 
17354|10574|17880|87|18|45|3
90381|10047|15489|59|16|33|1 
89210|1120|5746|14|79|46|2
38475|11978|17669|88|73|13|1 
91374|13251|18857|74|43|14|1 
96425|11933|8397|55|50|48|1 
28438|8926|2877|9|65|18|1 
16064|8086|5746|21|100|18|1 
85511|9045|19305|71|73|38|4
20173|10197|1959|89|73|49|5
50490|15383|7333|95|48|3|3
62929|11964|5746|75|92|37|1 
29689|10129|4123|9|95|33|1 
42231|8196|18253|100|73|43|1 
52570|7669|8397|4|16|45|2
57905|10185|5696|16|73|40|1 
54300|10315|8397|37|73|17|2
92461|9133|8355|40|95|50|1 
3761|10346|8397|96|91|31|1 
89571|9101|19445|4|73|50|1 
17761|11934|1398|44|1|8|1 
20072|11415|8855|97|77|21|1 
58357|8598|11837|39|88|11|2
20855|8590|8397|56|73|23|1 
21872|10249|14008|30|92|42|1 
22008|7032|786|29|73|47|2
60521|11970|15941|74|73|23|5
54367|1409|9768|84|29|12|1 
42796|7076|17805|20|73|40|1 
48681|10507|8397|14|28|43|1 
94722|11533|14837|13|92|23|1 
27308|10117|7983|65|73|48|1 
89191|12412|9444|6|73|46|1 
27577|10423|6762|13|76|8|1 
63865|12157|8397|76|14|38|1 
74496|11792|10789|58|48|17|1 
21319|13075|2587|14|95|3|1 
6200|13310|6885|57|53|1|1 
12962|9391|8397|38|73|8|1 
18607|13164|1813|32|73|34|1 
95568|10543|4973|35|73|16|4
16670|10668|8397|87|3|37|1 
96302|9929|17989|45|73|36|1 
18137|9741|5061|15|73|18|5
60094|9668|5746|45|73|41|1 
69172|9871|19842|9|73|44|3
49962|8008|18906|7|73|12|1 
89115|6240|3369|96|92|45|1 
79323|13273|13413|41|6|8|3
31165|11581|5746|52|73|12|1 
20640|10086|8397|43|16|19|1 
94720|7304|14783|84|73|38|1 
37843|9900|1343|30|73|31|1 
97801|8300|8424|72|73|5|1 
985|12008|5746|17|73|35|1 
16878|12745|17992|74|33|11|2
38583|9485|14946|90|33|43|1 
9438|8394|8397|30|73|24|1 
89408|16978|17880|24|75|31|1 
12122|11381|8397|82|73|43|1 
50634|8029|244|80|97|49|5
33467|9457|2151|54|76|44|1 
72602|10281|11810|45|92|13|1 
58444|10649|6993|95|73|43|1 
83881|9518|9478|59|73|17|3
97233|8503|9768|8|13|29|4
77027|8185|4973|29|95|19|1 
58458|9739|997|23|73|3|1 
3985|11847|16404|46|82|46|1 
67717|6479|16897|7|27|17|1 
81564|9843|10264|80|43|22|1 
15748|9779|8397|79|55|31|5
10554|13075|4973|53|8|36|2
10035|12055|5696|36|73|26|2
9960|8162|9106|50|84|25|3
55456|9475|8397|77|73|25|1 
6379|11259|4450|54|73|19|1 
72049|10780|8397|90|73|45|1 
85388|12849|7217|40|20|8|2
35052|12007|10098|47|30|14|3
93963|10835|8397|31|73|42|1 
30180|9129|19445|53|73|27|1 
76757|6111|7462|92|73|26|1 
25087|10680|8397|53|52|3|4
9291|13075|8397|58|92|9|1 
15342|14074|8397|22|73|50|1 
32365|13228|172|5|73|24|2
72651|10546|16509|2|73|6|2
78697|10259|19890|83|55|33|1 
28869|13543|8397|13|97|35|1 
5925|7285|8397|85|31|50|5
19427|6598|16868|80|63|31|1 
67490|11686|3948|18|95|4|5
67017|11915|1552|61|20|16|1 
49392|9309|5746|13|36|41|1 
39307|6955|8397|84|1|39|3
82631|8637|14077|9|27|6|4
93782|7444|10051|51|73|19|1 
80339|12735|17853|98|73|23|2
62360|4212|3897|75|73|26|3
14477|11573|18415|69|63|46|1 
86334|10913|12709|24|34|38|2
35527|7334|8397|48|2|5|1 
86867|7660|7036|76|33|15|1 
28106|9973|2481|55|73|48|1 
31104|10129|16891|29|35|27|2
77641|11831|15167|19|73|30|1 
18487|10224|19445|38|73|26|2
40161|8917|18491|93|73|50|2
80116|8296|8397|50|73|24|1 
94985|8857|8397|35|47|43|1 
17296|8965|17880|42|73|26|2
48934|8602|8397|21|73|49|4
35764|11743|3881|98|73|17|1 
69327|12627|9589|59|73|41|5
2694|11465|18028|60|91|7|1 
38778|12945|14639|31|73|39|4
46007|10399|11961|8|73|12|1 
69267|11858|13397|2|73|38|1 
57013|11017|8397|89|73|18|1 
34101|6411|15901|41|19|37|1 
3286|10413|13757|18|41|15|1 
37859|5880|8397|50|63|23|2
97758|13148|5746|98|4|45|5
55466|11645|17176|59|34|41|2
63665|8282|5746|53|73|36|1 
54781|15767|11036|24|50|28|2
33178|12723|8397|72|56|33|3
13634|8128|6246|12|73|21|1 
48072|6628|5936|61|79|32|1 
24139|10013|493|25|10|7|1 
80367|8989|8397|16|73|49|1 
99982|11479|2189|81|73|16|1 
65649|11198|16287|50|73|8|1 
58049|12351|19426|12|73|42|1 
75930|8376|11569|52|73|44|1 
9109|8060|8660|56|73|15|2
54606|13659|15573|56|73|32|1 
13053|11400|5746|46|35|43|1 
41228|5162|10584|27|89|10|2
20663|10784|8842|75|92|38|5
71723|10272|8397|68|92|40|5
50097|11174|19233|70|18|1|3
59982|11058|12521|23|46|4|4
69897|11273|9519|23|54|39|2
60986|9225|16153|25|95|31|1 
26094|11158|12669|96|95|10|2
44105|11498|18496|46|95|26|3
53418|9720|18415|34|20|32|3
52812|6929|5696|70|73|49|1 
61024|11706|5246|91|73|26|1 
